year,title,published_at,updated_at,category,nominee,artist,workers,img,winner,nominee_length
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best country song,On The Road Again,Desconocido,"Willie Nelson, songwriter (Willie Nelson)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Willie%2BNelson/Willie%2520Nelson_1_1_1578385381.jpg?itok=Dc-WqO_x,True,17
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best gospel performance, contemporary or inspirational",The Lord's Prayer,"Reba Rambo, Dony Mcguire, B.J. Thomas, Andrae Crouch, Walter Hawkins, Tramaine Hawkins, Cynthia Clawson, The Archers",Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Dony%2BMcGuire/Dony%2520McGuire_1_1_1581560158.jpg?itok=JHfBY12b,True,17
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best gospel performance, traditional",We Come To Worship,Blackwood Brothers,Desconocido,Desconocido,True,18
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best soul gospel performance, contemporary",Rejoice,Shirley Caesar,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/shirley_caesar_spotlight_543440012.png?itok=GvEA0Lyt,True,7
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best soul gospel performance, traditional","Lord, Let Me Be An Instrument",James Cleveland & The Charles Fold Singers,Desconocido,Desconocido,True,29
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best inspirational performance,With My Song I Will Praise Him,Debby Boone,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Debby%2BBoone/Debby%2520Boone_1_1_1575373918.jpg?itok=j8EIzpps,True,30
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best ethnic or traditional recording,Rare Blues,(Various Artists),Desconocido,Desconocido,True,10
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best latin recording,La Onda Va Bien,Cal Tjader,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Cal%2BTjader/Cal%2520Tjader_1_1_1581558294.jpg?itok=pIB-is3X,True,15
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best recording for children,In Harmony/A Sesame Street Record,(Various Artists),Desconocido,Desconocido,True,33
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best comedy recording,No Respect,Rodney Dangerfield,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Rodney%2BDangerfield/Rodney%2520Dangerfield_1_1_1581616016.jpg?itok=9TgLT4mZ,True,10
